,Unnamed: 0,state,city,song,artist,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
0,0, Illinois,Decatur,"Decatur, or, Round of Applause for Your Stepmother!",Sufjan Stevens,spotify:track:31s3BSh3KbiOcOLURdab8f,44,2005-07-05,0.708,0.389,0.0,-10.06,1.0,0.0524,0.921,4.85e-05,0.74,0.433,130.008,audio_features,31s3BSh3KbiOcOLURdab8f,spotify:track:31s3BSh3KbiOcOLURdab8f,https://api.spotify.com/v1/tracks/31s3BSh3KbiOcOLURdab8f,https://api.spotify.com/v1/audio-analysis/31s3BSh3KbiOcOLURdab8f,183907.0,4.0,
1,1, Illinois,Highland,"Concerning the UFO Sighting near Highland, Illinois",Sufjan Stevens,spotify:track:2Swpr4UiCfYUl1wbxrduBs,50,2005-07-05,0.452,0.149,7.0,-14.99,1.0,0.0378,0.987,0.304,0.165,0.389,131.071,audio_features,2Swpr4UiCfYUl1wbxrduBs,spotify:track:2Swpr4UiCfYUl1wbxrduBs,https://api.spotify.com/v1/tracks/2Swpr4UiCfYUl1wbxrduBs,https://api.spotify.com/v1/audio-analysis/2Swpr4UiCfYUl1wbxrduBs,128987.0,4.0,
2,2, Illinois,Jacksonville,Jacksonville,Sufjan Stevens,spotify:track:1ZHLEKW4rXRaDJESAX7CR8,48,2005-07-05,0.597,0.445,5.0,-8.947,0.0,0.0324,0.361,0.000415,0.645,0.579,140.053,audio_features,1ZHLEKW4rXRaDJESAX7CR8,spotify:track:1ZHLEKW4rXRaDJESAX7CR8,https://api.spotify.com/v1/tracks/1ZHLEKW4rXRaDJESAX7CR8,https://api.spotify.com/v1/audio-analysis/1ZHLEKW4rXRaDJESAX7CR8,324720.0,4.0,
3,3, Illinois,Peoria,Prairie Fire That Wanders About,Sufjan Stevens,spotify:track:5McbZlaeBC1rCNKOFOZx6x,40,2005-07-05,0.343,0.422,2.0,-9.801,0.0,0.0287,0.628,0.0383,0.131,0.127,95.624,audio_features,5McbZlaeBC1rCNKOFOZx6x,spotify:track:5McbZlaeBC1rCNKOFOZx6x,https://api.spotify.com/v1/tracks/5McbZlaeBC1rCNKOFOZx6x,https://api.spotify.com/v1/audio-analysis/5McbZlaeBC1rCNKOFOZx6x,131373.0,3.0,
4,4, Illinois,Pittsfield,Pittsfield,Sufjan Stevens,spotify:track:1IG42G8we4lIx1Acw0CnzT,24,2006-07-11,0.338,0.333,5.0,-10.644,1.0,0.0451,0.809,1.34e-06,0.0949,0.275,86.549,audio_features,1IG42G8we4lIx1Acw0CnzT,spotify:track:1IG42G8we4lIx1Acw0CnzT,https://api.spotify.com/v1/tracks/1IG42G8we4lIx1Acw0CnzT,https://api.spotify.com/v1/audio-analysis/1IG42G8we4lIx1Acw0CnzT,411427.0,4.0,
5,5, Illinois,Springfield,"Springfield, or Bob Got a Shadfly Caught in his Hair",Sufjan Stevens,spotify:track:1TYlZJWUNAJFXeF8FbPRIp,26,2006-07-11,0.613,0.356,7.0,-10.459,1.0,0.0327,0.84,0.0209,0.0925,0.192,115.059,audio_features,1TYlZJWUNAJFXeF8FbPRIp,spotify:track:1TYlZJWUNAJFXeF8FbPRIp,https://api.spotify.com/v1/tracks/1TYlZJWUNAJFXeF8FbPRIp,https://api.spotify.com/v1/audio-analysis/1TYlZJWUNAJFXeF8FbPRIp,257627.0,4.0,
6,6, Illinois,Chicago,1215 W. Belmont,Carey Bell & Lurrie Bell,spotify:track:7ojUlvMLwgV1rskrvMPWDM,1,2013-03-25,0.407,0.671,8.0,-9.087,1.0,0.0539,0.0169,0.699,0.12,0.546,129.519,audio_features,7ojUlvMLwgV1rskrvMPWDM,spotify:track:7ojUlvMLwgV1rskrvMPWDM,https://api.spotify.com/v1/tracks/7ojUlvMLwgV1rskrvMPWDM,https://api.spotify.com/v1/audio-analysis/7ojUlvMLwgV1rskrvMPWDM,106240.0,4.0,
7,7, Illinois,Chicago,19th Street Blues,Johnny Dodds & Tiny Parham,spotify:track:3sBPS6Mat6Ch4DM1WXnMFi,0,1999,0.658,0.211,8.0,-13.064,1.0,0.056,0.994,0.471,0.341,0.689,94.717,audio_features,3sBPS6Mat6Ch4DM1WXnMFi,spotify:track:3sBPS6Mat6Ch4DM1WXnMFi,https://api.spotify.com/v1/tracks/3sBPS6Mat6Ch4DM1WXnMFi,https://api.spotify.com/v1/audio-analysis/3sBPS6Mat6Ch4DM1WXnMFi,172244.0,4.0,
8,8, Illinois,Chicago,2120 South Michigan Avenue,– Rolling Stones,spotify:track:4KoBKbnRh4BywqvY5VPkts,30,1964-10-17,0.609,0.585,0.0,-13.173,1.0,0.0305,0.00137,0.876,0.0819,0.825,147.176,audio_features,4KoBKbnRh4BywqvY5VPkts,spotify:track:4KoBKbnRh4BywqvY5VPkts,https://api.spotify.com/v1/tracks/4KoBKbnRh4BywqvY5VPkts,https://api.spotify.com/v1/audio-analysis/4KoBKbnRh4BywqvY5VPkts,218467.0,4.0,
9,9, Illinois,Chicago,29th and Dearborn,– Richard M Jones,spotify:track:6MGgb9pFSM0lJ0RvoLDoSa,1,1995,0.521,0.2,9.0,-13.95,1.0,0.126,0.996,0.0615,0.212,0.655,174.08,audio_features,6MGgb9pFSM0lJ0RvoLDoSa,spotify:track:6MGgb9pFSM0lJ0RvoLDoSa,https://api.spotify.com/v1/tracks/6MGgb9pFSM0lJ0RvoLDoSa,https://api.spotify.com/v1/audio-analysis/6MGgb9pFSM0lJ0RvoLDoSa,172382.0,4.0,
10,10, Illinois,Chicago,31st And State,Johnny Griffin And Wilbur Ware With Junior Mance,spotify:track:3EWDSU97ym2QK7YBnsfI0k,13,1992-01-01,0.222,0.0635,7.0,-17.331,1.0,0.0317,0.937,0.854,0.0784,0.201,91.633,audio_features,3EWDSU97ym2QK7YBnsfI0k,spotify:track:3EWDSU97ym2QK7YBnsfI0k,https://api.spotify.com/v1/tracks/3EWDSU97ym2QK7YBnsfI0k,https://api.spotify.com/v1/audio-analysis/3EWDSU97ym2QK7YBnsfI0k,320000.0,3.0,
11,11, Illinois,Chicago,39th And Indiana,Charley Musselwhite,spotify:track:35MPSzB34uAGn0qioKXlHt,15,2006-01-01,0.579,0.259,2.0,-14.929,1.0,0.0277,0.702,0.244,0.104,0.24,80.128,audio_features,35MPSzB34uAGn0qioKXlHt,spotify:track:35MPSzB34uAGn0qioKXlHt,https://api.spotify.com/v1/tracks/35MPSzB34uAGn0qioKXlHt,https://api.spotify.com/v1/audio-analysis/35MPSzB34uAGn0qioKXlHt,250000.0,3.0,
12,12, Illinois,Chicago,42 in Chicago,Merle Kilgore,spotify:track:38QEnh7nRw9PVdiUeiO4Z7,3,2008-06-20,0.563,0.377,4.0,-12.72,1.0,0.0311,0.125,1.44e-06,0.212,0.697,116.631,audio_features,38QEnh7nRw9PVdiUeiO4Z7,spotify:track:38QEnh7nRw9PVdiUeiO4Z7,https://api.spotify.com/v1/tracks/38QEnh7nRw9PVdiUeiO4Z7,https://api.spotify.com/v1/audio-analysis/38QEnh7nRw9PVdiUeiO4Z7,159973.0,4.0,
13,13, Illinois,Chicago,43rd Street Jump,"David ""Honeyboy"" Edwards, Sunnyland Slim, Big Walter Horton, Kansas City Red, Floyd Jones",spotify:track:6UrthGBnVvrBvmc7iaYOCb,0,1993,0.549,0.344,7.0,-18.377,1.0,0.0377,0.817,0.936,0.259,0.887,171.595,audio_features,6UrthGBnVvrBvmc7iaYOCb,spotify:track:6UrthGBnVvrBvmc7iaYOCb,https://api.spotify.com/v1/tracks/6UrthGBnVvrBvmc7iaYOCb,https://api.spotify.com/v1/audio-analysis/6UrthGBnVvrBvmc7iaYOCb,175752.0,4.0,
14,14, Illinois,Chicago,47th Street Stomp,– Jimmy Bertrand's Washboard Wizards,spotify:track:2OB9vZHTOYx9nAn7MLWA3m,11,1993,0.665,0.362,0.0,-13.053,1.0,0.2,0.962,0.128,0.512,0.961,86.073,audio_features,2OB9vZHTOYx9nAn7MLWA3m,spotify:track:2OB9vZHTOYx9nAn7MLWA3m,https://api.spotify.com/v1/tracks/2OB9vZHTOYx9nAn7MLWA3m,https://api.spotify.com/v1/audio-analysis/2OB9vZHTOYx9nAn7MLWA3m,190027.0,4.0,
15,15, Illinois,Chicago,53104,", 2000 – Maybe I'll Catch Fire  Alkaline Trio",error,error,error,,,,,,,,,,,,,,,,,,,
16,16, Illinois,Chicago,55th Street,Lidell Townsell,error,error,error,,,,,,,,,,,,,,,,,,,
17,17, Illinois,Chicago,65th and Ingleside,Chance the Rapper,spotify:track:5H0NU2sHWUnWCcZyYlX46X,56,2018-07-16,0.792,0.555,0.0,-7.038,1.0,0.34,0.0394,6.39e-06,0.107,0.084,99.954,audio_features,5H0NU2sHWUnWCcZyYlX46X,spotify:track:5H0NU2sHWUnWCcZyYlX46X,https://api.spotify.com/v1/tracks/5H0NU2sHWUnWCcZyYlX46X,https://api.spotify.com/v1/audio-analysis/5H0NU2sHWUnWCcZyYlX46X,273600.0,4.0,
18,18, Illinois,Chicago,70th & King Drive,– Hot Hanas Hula,error,error,error,,,,,,,,,,,,,,,,,,,
19,19, Illinois,Chicago,A Cicada Of Chicago,Pepe Ahlqvist,spotify:track:5n9dpBbOGxPrYmy8HGu4FV,0,1999,0.551,0.725,4.0,-6.937,0.0,0.071,0.0583,0.000298,0.0319,0.884,119.325,audio_features,5n9dpBbOGxPrYmy8HGu4FV,spotify:track:5n9dpBbOGxPrYmy8HGu4FV,https://api.spotify.com/v1/tracks/5n9dpBbOGxPrYmy8HGu4FV,https://api.spotify.com/v1/audio-analysis/5n9dpBbOGxPrYmy8HGu4FV,256733.0,4.0,
20,20, Illinois,Chicago,An Afternoon in Midway Plaisance. Fantasie for Piano.,", 1893 – composer: Gustav Luders[1]",error,error,error,,,,,,,,,,,,,,,,,,,
21,21, Illinois,Chicago,Angels,"– Chance the Rapper from Coloring Book, 2016 (music video shows him rapping on top of the ""L"" train)",spotify:track:0jx8zY5JQsS4YEQcfkoc5C,61,2016-05-27,0.771,0.647,5.0,-5.127,0.0,0.376,0.294,0.0,0.37,0.678,155.914,audio_features,0jx8zY5JQsS4YEQcfkoc5C,spotify:track:0jx8zY5JQsS4YEQcfkoc5C,https://api.spotify.com/v1/tracks/0jx8zY5JQsS4YEQcfkoc5C,https://api.spotify.com/v1/audio-analysis/0jx8zY5JQsS4YEQcfkoc5C,206240.0,4.0,
22,22, Illinois,Chicago,Apex Blues,– Jimmie Noone & His Apex Club Orchestra,spotify:track:5yiXeq2k7faulkGjfyEVHR,0,1998,0.622,0.397,5.0,-13.237,1.0,0.0503,0.983,0.91,0.139,0.68,134.353,audio_features,5yiXeq2k7faulkGjfyEVHR,spotify:track:5yiXeq2k7faulkGjfyEVHR,https://api.spotify.com/v1/tracks/5yiXeq2k7faulkGjfyEVHR,https://api.spotify.com/v1/audio-analysis/5yiXeq2k7faulkGjfyEVHR,171867.0,4.0,
23,23, Illinois,Chicago,Apostrophe to Chicago,– composer & lyricist: Mrs. Emily M. (Blakeslee) Boyden,error,error,error,,,,,,,,,,,,,,,,,,,
24,24, Illinois,Chicago,Area 312,– Resurrection Band,spotify:track:07tA9PRyOsjYrRxIKD3rRS,4,1982-01-01,0.66,0.791,9.0,-10.65,1.0,0.083,0.00999,0.0,0.0752,0.793,129.42,audio_features,07tA9PRyOsjYrRxIKD3rRS,spotify:track:07tA9PRyOsjYrRxIKD3rRS,https://api.spotify.com/v1/tracks/07tA9PRyOsjYrRxIKD3rRS,https://api.spotify.com/v1/audio-analysis/07tA9PRyOsjYrRxIKD3rRS,234933.0,4.0,
25,25, Illinois,Chicago,At McKie's,– Sonny Rollins & Coleman Hawkins (McKie's was a famous Chicago jazz venue),spotify:track:1VmeeLNw6RhWqunrxZ6P55,6,1963,0.518,0.537,7.0,-14.714,0.0,0.0481,0.29,0.000431,0.0535,0.675,96.776,audio_features,1VmeeLNw6RhWqunrxZ6P55,spotify:track:1VmeeLNw6RhWqunrxZ6P55,https://api.spotify.com/v1/tracks/1VmeeLNw6RhWqunrxZ6P55,https://api.spotify.com/v1/audio-analysis/1VmeeLNw6RhWqunrxZ6P55,423533.0,4.0,
26,26, Illinois,Chicago,Ation,– Frode Gjerstad Trio With Steve Swell,spotify:track:49e8jyxGYok1DJRLqOlg4T,48,2017-11-03,0.578,0.0801,8.0,-20.314,1.0,0.0501,0.966,0.539,0.106,0.0747,105.706,audio_features,49e8jyxGYok1DJRLqOlg4T,spotify:track:49e8jyxGYok1DJRLqOlg4T,https://api.spotify.com/v1/tracks/49e8jyxGYok1DJRLqOlg4T,https://api.spotify.com/v1/audio-analysis/49e8jyxGYok1DJRLqOlg4T,242067.0,4.0,
27,27, Illinois,Chicago,Auch Chikago War Einmal Jung,– Katja Ebstein,error,error,error,,,,,,,,,,,,,,,,,,,
28,28, Illinois,Chicago,Awake! Awake!,– composer & lyricist: Mrs. Emily M. (Blakeslee) Boyden,spotify:track:4JROpU5gP8royyIzI7PR77,11,2017-04-14,0.124,0.148,3.0,-18.208,1.0,0.0442,0.912,0.788,0.0782,0.0347,81.764,audio_features,4JROpU5gP8royyIzI7PR77,spotify:track:4JROpU5gP8royyIzI7PR77,https://api.spotify.com/v1/tracks/4JROpU5gP8royyIzI7PR77,https://api.spotify.com/v1/audio-analysis/4JROpU5gP8royyIzI7PR77,659987.0,4.0,
29,29, Illinois,Chicago,Back Down On State Street,– Ben Sidran,spotify:track:2iVO81Kkli7qD0JBITxwj8,1,1972-01-01,0.638,0.734,0.0,-7.113,1.0,0.107,0.0378,0.000462,0.595,0.628,130.734,audio_features,2iVO81Kkli7qD0JBITxwj8,spotify:track:2iVO81Kkli7qD0JBITxwj8,https://api.spotify.com/v1/tracks/2iVO81Kkli7qD0JBITxwj8,https://api.spotify.com/v1/audio-analysis/2iVO81Kkli7qD0JBITxwj8,384733.0,4.0,
30,30, Illinois,Chicago,Back Streets of Lombard,– Ground Zero,error,error,error,,,,,,,,,,,,,,,,,,,
31,31, Illinois,Chicago,Back to Chicago,"– Styx, from Edge of the Century, 1990",spotify:track:269DscYTUuK5e92sqNVzMB,15,1990-01-01,0.568,0.592,6.0,-7.579,1.0,0.0244,0.309,0.0,0.114,0.505,89.879,audio_features,269DscYTUuK5e92sqNVzMB,spotify:track:269DscYTUuK5e92sqNVzMB,https://api.spotify.com/v1/tracks/269DscYTUuK5e92sqNVzMB,https://api.spotify.com/v1/audio-analysis/269DscYTUuK5e92sqNVzMB,258933.0,4.0,
32,32, Illinois,Chicago,"Bad, Bad Leroy Brown",– Jim Croce,spotify:track:1O0xeZrBDbq7HPREdmYUYK,66,1973-07-01,0.697,0.676,7.0,-10.742,1.0,0.0402,0.706,0.0,0.0824,0.852,148.072,audio_features,1O0xeZrBDbq7HPREdmYUYK,spotify:track:1O0xeZrBDbq7HPREdmYUYK,https://api.spotify.com/v1/tracks/1O0xeZrBDbq7HPREdmYUYK,https://api.spotify.com/v1/audio-analysis/1O0xeZrBDbq7HPREdmYUYK,182240.0,4.0,
33,33, Illinois,Chicago,The Ballad Of Jesse James,various versions  see Jesse James (folk song),spotify:track:2XMY6NquwwvESEEgd74BBP,30,2014-03-11,0.56,0.69,0.0,-8.265,0.0,0.0429,0.577,1.86e-06,0.12,0.502,103.893,audio_features,2XMY6NquwwvESEEgd74BBP,spotify:track:2XMY6NquwwvESEEgd74BBP,https://api.spotify.com/v1/tracks/2XMY6NquwwvESEEgd74BBP,https://api.spotify.com/v1/audio-analysis/2XMY6NquwwvESEEgd74BBP,250493.0,4.0,
34,34, Illinois,Chicago,Bamako Chicago Express,Don Moye,error,error,error,,,,,,,,,,,,,,,,,,,
35,35, Illinois,Chicago,Baseball Dreams,– Ralph's World,spotify:track:73rjZd8CKnlrtUlILwokCP,14,2015-07-06,0.694,0.444,0.0,-8.641,1.0,0.0357,0.0994,0.0,0.228,0.773,113.943,audio_features,73rjZd8CKnlrtUlILwokCP,spotify:track:73rjZd8CKnlrtUlILwokCP,https://api.spotify.com/v1/tracks/73rjZd8CKnlrtUlILwokCP,https://api.spotify.com/v1/audio-analysis/73rjZd8CKnlrtUlILwokCP,112524.0,4.0,
36,36, Illinois,Chicago,Battle of Chicago,– Berkshire Seven,error,error,error,,,,,,,,,,,,,,,,,,,
37,37, Illinois,Chicago,Bear Down Chicago Bears,John Frigo,error,error,error,,,,,,,,,,,,,,,,,,,
38,38, Illinois,Chicago,The Belle of Chicago,", 1892 – composer: John Philip Sousa",spotify:track:5DXFM0v0hQeUbgIPXPbWNK,4,2015-08-14,0.756,0.744,3.0,-9.655,1.0,0.0727,0.713,0.954,0.0766,0.838,119.752,audio_features,5DXFM0v0hQeUbgIPXPbWNK,spotify:track:5DXFM0v0hQeUbgIPXPbWNK,https://api.spotify.com/v1/tracks/5DXFM0v0hQeUbgIPXPbWNK,https://api.spotify.com/v1/audio-analysis/5DXFM0v0hQeUbgIPXPbWNK,138013.0,4.0,
39,39, Illinois,Chicago,The Belle of Chicago Barn Dance,– composer: Theo. Bonheur,error,error,error,,,,,,,,,,,,,,,,,,,
40,40, Illinois,Chicago,The Belle of Lincoln Park,– composer & lyricist: Geo. Maywood,error,error,error,,,,,,,,,,,,,,,,,,,
41,41, Illinois,Chicago,Best Wishes to your Black Lung,– Less Than Jake,spotify:track:6pucz040S1dYHpkR6RIjDx,31,2003-05-19,0.406,0.947,4.0,-2.111,1.0,0.0618,0.000326,0.0,0.201,0.656,142.843,audio_features,6pucz040S1dYHpkR6RIjDx,spotify:track:6pucz040S1dYHpkR6RIjDx,https://api.spotify.com/v1/tracks/6pucz040S1dYHpkR6RIjDx,https://api.spotify.com/v1/audio-analysis/6pucz040S1dYHpkR6RIjDx,174787.0,4.0,
42,42, Illinois,Chicago,Big Bill the Builder,"(mayor), 1928 – composers & lyricists: Milton Weil, Bernie Grossman & Larry Shay",error,error,error,,,,,,,,,,,,,,,,,,,
43,43, Illinois,Chicago,The Big Brass Band from Brazil,Art Mooney & His Orchestra,error,error,error,,,,,,,,,,,,,,,,,,,
44,44, Illinois,Chicago,The Big Unit,– The Mountain Goats,spotify:track:5IWfuoybfPS6oxHQwE2VR8,26,2020-07-10,0.507,0.635,7.0,-11.232,1.0,0.0399,0.204,0.909,0.13,0.296,179.989,audio_features,5IWfuoybfPS6oxHQwE2VR8,spotify:track:5IWfuoybfPS6oxHQwE2VR8,https://api.spotify.com/v1/tracks/5IWfuoybfPS6oxHQwE2VR8,https://api.spotify.com/v1/audio-analysis/5IWfuoybfPS6oxHQwE2VR8,70626.0,3.0,
45,45, Illinois,Chicago,Big Windy City,Troy Shondell,error,error,error,,,,,,,,,,,,,,,,,,,
46,46, Illinois,Chicago,The Billiken Man,", 1909 – composer: Melville J. Gideon; lyricist: E. Ray Goetz; sung  Blanche Ring",error,error,error,,,,,,,,,,,,,,,,,,,
47,47, Illinois,Chicago,Black Sox Two Step (Noir Chaussette's Two Step),– Sidney Brown,error,error,error,,,,,,,,,,,,,,,,,,,
48,48, Illinois,Chicago,Blowin' in from Chicago,", 2005 – composer: Hank Hirsh; Six Perfections Music; Around and Back",spotify:track:5jwAPjqSxNXQI1E9NFERyx,0,2005-03-22,0.4,0.362,5.0,-12.689,0.0,0.0714,0.499,0.00631,0.314,0.466,185.231,audio_features,5jwAPjqSxNXQI1E9NFERyx,spotify:track:5jwAPjqSxNXQI1E9NFERyx,https://api.spotify.com/v1/tracks/5jwAPjqSxNXQI1E9NFERyx,https://api.spotify.com/v1/audio-analysis/5jwAPjqSxNXQI1E9NFERyx,303053.0,4.0,
49,49, Illinois,Chicago,Blue Line,– Local H,spotify:track:5DpjEfpNu6s5JEsBklohON,10,2012-09-18,0.636,0.676,1.0,-7.031,1.0,0.335,0.00855,0.00103,0.267,0.219,124.845,audio_features,5DpjEfpNu6s5JEsBklohON,spotify:track:5DpjEfpNu6s5JEsBklohON,https://api.spotify.com/v1/tracks/5DpjEfpNu6s5JEsBklohON,https://api.spotify.com/v1/audio-analysis/5DpjEfpNu6s5JEsBklohON,295347.0,4.0,
50,50, Illinois,Chicago,Blues for the South Side,– Ronnie Earl,spotify:track:4RqQJw4OxVzvkHETmkqMbF,4,2009-06-02,0.317,0.791,2.0,-3.959,1.0,0.0633,0.145,0.849,0.287,0.573,79.69,audio_features,4RqQJw4OxVzvkHETmkqMbF,spotify:track:4RqQJw4OxVzvkHETmkqMbF,https://api.spotify.com/v1/tracks/4RqQJw4OxVzvkHETmkqMbF,https://api.spotify.com/v1/audio-analysis/4RqQJw4OxVzvkHETmkqMbF,204680.0,4.0,
51,51, Illinois,Chicago,Blues for the West Side,– Eddie Shaw,spotify:track:54TxOf0EnBhlmG58niIpML,0,2015-05-20,0.669,0.545,7.0,-6.592,1.0,0.0347,0.442,0.926,0.0906,0.829,94.986,audio_features,54TxOf0EnBhlmG58niIpML,spotify:track:54TxOf0EnBhlmG58niIpML,https://api.spotify.com/v1/tracks/54TxOf0EnBhlmG58niIpML,https://api.spotify.com/v1/audio-analysis/54TxOf0EnBhlmG58niIpML,152987.0,3.0,
52,52, Illinois,Chicago,Boogie Woogie Bugle Boy,Andrews Sisters,spotify:track:3axPhcbhVDOA9MnhkUrFcE,49,1984-01-01,0.64,0.479,7.0,-11.55,1.0,0.467,0.881,0.000171,0.0973,0.79,166.868,audio_features,3axPhcbhVDOA9MnhkUrFcE,spotify:track:3axPhcbhVDOA9MnhkUrFcE,https://api.spotify.com/v1/tracks/3axPhcbhVDOA9MnhkUrFcE,https://api.spotify.com/v1/audio-analysis/3axPhcbhVDOA9MnhkUrFcE,161933.0,4.0,
53,53, Illinois,Chicago,Boost Chicago,– composer: Armin P. Bauer,error,error,error,,,,,,,,,,,,,,,,,,,
54,54, Illinois,Chicago,Born in Chicago,"– Paul Butterfield 1965, blues",spotify:track:5l8eykuYVcFy7Jjayzo40t,11,2015-11-06,0.419,0.597,2.0,-12.591,1.0,0.048,0.786,0.000769,0.321,0.941,76.177,audio_features,5l8eykuYVcFy7Jjayzo40t,spotify:track:5l8eykuYVcFy7Jjayzo40t,https://api.spotify.com/v1/tracks/5l8eykuYVcFy7Jjayzo40t,https://api.spotify.com/v1/audio-analysis/5l8eykuYVcFy7Jjayzo40t,188867.0,4.0,
55,55, Illinois,Chicago,Born in Illinois,"(in a place they call Chicago) Music & Lyrics  Mark ""Big Poppa"" Stampley (Chicago Native)Recorded  Award Winning Blues Artist Mark ""Big Poppa"" Stampley",spotify:track:2rRPx5VxwrbA80SuYbs4PL,0,2014-08-26,0.452,0.943,2.0,-3.814,0.0,0.109,0.358,0.0,0.313,0.56,90.055,audio_features,2rRPx5VxwrbA80SuYbs4PL,spotify:track:2rRPx5VxwrbA80SuYbs4PL,https://api.spotify.com/v1/tracks/2rRPx5VxwrbA80SuYbs4PL,https://api.spotify.com/v1/audio-analysis/2rRPx5VxwrbA80SuYbs4PL,304876.0,4.0,
56,56, Illinois,Chicago,Bow to the Masta,", 1999 – Kool Keith",spotify:track:3W2NYQTL4t3YwuA1oZ8us9,0,1999-01-01,0.873,0.658,11.0,-6.108,1.0,0.212,0.173,1.34e-06,0.0958,0.583,87.307,audio_features,3W2NYQTL4t3YwuA1oZ8us9,spotify:track:3W2NYQTL4t3YwuA1oZ8us9,https://api.spotify.com/v1/tracks/3W2NYQTL4t3YwuA1oZ8us9,https://api.spotify.com/v1/audio-analysis/3W2NYQTL4t3YwuA1oZ8us9,250107.0,4.0,
57,57, Illinois,Chicago,"Boy Reporter Blues, Dedicated to Horace Wade – Boy Reporter of the Chicago Evening American",", 1924 – composers: Dell Lampe & J. Bodewalt Lampe; lyricist: Haven Gillespie",error,error,error,,,,,,,,,,,,,,,,,,,
58,58, Illinois,Chicago,Break Down on Lake Shore Drive,– The Black Dog,spotify:track:7tGjDrzTIkIH6RDVhrcINE,1,2006-03-20,0.258,0.457,11.0,-21.373,1.0,0.116,0.00249,0.857,0.176,0.0379,100.667,audio_features,7tGjDrzTIkIH6RDVhrcINE,spotify:track:7tGjDrzTIkIH6RDVhrcINE,https://api.spotify.com/v1/tracks/7tGjDrzTIkIH6RDVhrcINE,https://api.spotify.com/v1/audio-analysis/7tGjDrzTIkIH6RDVhrcINE,70507.0,3.0,
59,59, Illinois,Chicago,Bryn Mawr Stomp,– Local H,spotify:track:2HSrB23OombxL0Bzy22Hft,13,2002,0.442,0.991,8.0,-4.542,1.0,0.18,0.000204,0.151,0.145,0.628,178.393,audio_features,2HSrB23OombxL0Bzy22Hft,spotify:track:2HSrB23OombxL0Bzy22Hft,https://api.spotify.com/v1/tracks/2HSrB23OombxL0Bzy22Hft,https://api.spotify.com/v1/audio-analysis/2HSrB23OombxL0Bzy22Hft,161533.0,4.0,
60,60, Illinois,Chicago,Bucktown Stomp,– Johnny Dodds' Washboard Six,spotify:track:4CW151YOgWetU9lFvSA7bn,0,1994-10-10,0.569,0.326,0.0,-12.114,1.0,0.0601,0.838,0.77,0.312,0.725,119.969,audio_features,4CW151YOgWetU9lFvSA7bn,spotify:track:4CW151YOgWetU9lFvSA7bn,https://api.spotify.com/v1/tracks/4CW151YOgWetU9lFvSA7bn,https://api.spotify.com/v1/audio-analysis/4CW151YOgWetU9lFvSA7bn,190493.0,4.0,
61,61, Illinois,Chicago,The Burning Iroquois,"(theater), 1904 – composer: Edward Stanley; lyricist: Mathew Goodwin",error,error,error,,,,,,,,,,,,,,,,,,,
62,62, Illinois,Chicago,The Burning of the Iroquois,", 1904 – composer: Thos. R. Confare; lyricist: Morris S. Silver",error,error,error,,,,,,,,,,,,,,,,,,,
63,63, Illinois,Chicago,"Calling Me Home, Chicago",", 1985 – composer: Paul David Wilson",error,error,error,,,,,,,,,,,,,,,,,,,
64,64, Illinois,Chicago,Casimir Pulaski Day,– Sufjan Stevens,spotify:track:1u1YU1LE0FWHFOHpR2iXua,58,2005-07-05,0.686,0.172,8.0,-14.979,1.0,0.0409,0.909,0.00154,0.286,0.563,133.899,audio_features,1u1YU1LE0FWHFOHpR2iXua,spotify:track:1u1YU1LE0FWHFOHpR2iXua,https://api.spotify.com/v1/tracks/1u1YU1LE0FWHFOHpR2iXua,https://api.spotify.com/v1/audio-analysis/1u1YU1LE0FWHFOHpR2iXua,353947.0,4.0,
65,65, Illinois,Chicago,Cha Cha Chicago,– Kai Winding,spotify:track:3IJVnInXjTAKRCL4LGZ3eX,0,2016-10-02,0.631,0.15,5.0,-16.898,1.0,0.0556,0.99,0.876,0.159,0.739,128.043,audio_features,3IJVnInXjTAKRCL4LGZ3eX,spotify:track:3IJVnInXjTAKRCL4LGZ3eX,https://api.spotify.com/v1/tracks/3IJVnInXjTAKRCL4LGZ3eX,https://api.spotify.com/v1/audio-analysis/3IJVnInXjTAKRCL4LGZ3eX,132142.0,4.0,
66,66, Illinois,Chicago,ChiChiChiChicago,– Nellie Lutcher,error,error,error,,,,,,,,,,,,,,,,,,,
67,67, Illinois,Chicago,Chi'Ca'Go',Johnny Ross,spotify:track:2svZdgYMK0KsUOSYpXFKy4,24,2015-12-04,0.581,0.614,8.0,-10.496,1.0,0.0605,0.8,7.5e-06,0.326,0.814,94.576,audio_features,2svZdgYMK0KsUOSYpXFKy4,spotify:track:2svZdgYMK0KsUOSYpXFKy4,https://api.spotify.com/v1/tracks/2svZdgYMK0KsUOSYpXFKy4,https://api.spotify.com/v1/audio-analysis/2svZdgYMK0KsUOSYpXFKy4,416773.0,4.0,
