,city,state,artist,song,uris,popularity,date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,South Dakota,South Dakota,Liz Phair,South Dakota,spotify:track:3MOpHznJURu9tfroi3iq5P,8,2018-05-04,0.65,0.153,2.0,-14.333,0.0,0.0314,0.873,0.000218,0.0698,0.26,116.62100000000001,audio_features,3MOpHznJURu9tfroi3iq5P,spotify:track:3MOpHznJURu9tfroi3iq5P,https://api.spotify.com/v1/tracks/3MOpHznJURu9tfroi3iq5P,https://api.spotify.com/v1/audio-analysis/3MOpHznJURu9tfroi3iq5P,261040.0,4.0
1,South Dakota,South Dakota,Bee Gees,South Dakota Morning,spotify:track:6Qmx84uFTW9owAIrcOT0y5,18,1973-01-01,0.502,0.126,9.0,-18.254,1.0,0.0367,0.7290000000000001,0.00257,0.132,0.309,128.92,audio_features,6Qmx84uFTW9owAIrcOT0y5,spotify:track:6Qmx84uFTW9owAIrcOT0y5,https://api.spotify.com/v1/tracks/6Qmx84uFTW9owAIrcOT0y5,https://api.spotify.com/v1/audio-analysis/6Qmx84uFTW9owAIrcOT0y5,146133.0,4.0
2,South Dakota,South Dakota,Nanci Griffith,Shaking Out the Snow,spotify:track:7h7j1QFRGInqfrK0OkWbMj,0,2018-11-02,0.6509999999999999,0.3,1.0,-10.091000000000001,1.0,0.039,0.5660000000000001,0.000315,0.10400000000000001,0.19699999999999998,129.139,audio_features,7h7j1QFRGInqfrK0OkWbMj,spotify:track:7h7j1QFRGInqfrK0OkWbMj,https://api.spotify.com/v1/tracks/7h7j1QFRGInqfrK0OkWbMj,https://api.spotify.com/v1/audio-analysis/7h7j1QFRGInqfrK0OkWbMj,284800.0,4.0
3,South Dakota,South Dakota,Johnny Cash,Big Foot,spotify:track:1efUjIw5XZ3yGSTZzvs1v0,15,1972-07-28,0.679,0.32299999999999995,3.0,-10.584000000000001,1.0,0.13,0.753,0.00173,0.33899999999999997,0.852,91.27,audio_features,1efUjIw5XZ3yGSTZzvs1v0,spotify:track:1efUjIw5XZ3yGSTZzvs1v0,https://api.spotify.com/v1/tracks/1efUjIw5XZ3yGSTZzvs1v0,https://api.spotify.com/v1/audio-analysis/1efUjIw5XZ3yGSTZzvs1v0,182067.0,4.0
4,South Dakota,South Dakota,Bobby Darin,East of the Rockies,spotify:track:5yg0HC5MckLATLOLaK72bL,6,2005-07-26,0.5660000000000001,0.324,0.0,-12.873,1.0,0.0407,0.6970000000000001,0.0,0.07200000000000001,0.889,168.65,audio_features,5yg0HC5MckLATLOLaK72bL,spotify:track:5yg0HC5MckLATLOLaK72bL,https://api.spotify.com/v1/tracks/5yg0HC5MckLATLOLaK72bL,https://api.spotify.com/v1/audio-analysis/5yg0HC5MckLATLOLaK72bL,169000.0,4.0
5,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown,spotify:track:3Si9u9FVlUTcUXVcawnstJ,44,1964-01-13,0.6829999999999999,0.312,3.0,-13.588,1.0,0.0371,0.912,0.000123,0.0996,0.519,111.46799999999999,audio_features,3Si9u9FVlUTcUXVcawnstJ,spotify:track:3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/tracks/3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/audio-analysis/3Si9u9FVlUTcUXVcawnstJ,302307.0,4.0
6,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown,spotify:track:3Si9u9FVlUTcUXVcawnstJ,44,1964-01-13,0.6829999999999999,0.312,3.0,-13.588,1.0,0.0371,0.912,0.000123,0.0996,0.519,111.46799999999999,audio_features,3Si9u9FVlUTcUXVcawnstJ,spotify:track:3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/tracks/3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/audio-analysis/3Si9u9FVlUTcUXVcawnstJ,302307.0,4.0
7,South Dakota,South Dakota,Bob Dylan,Ballad Of Hollis Brown,spotify:track:3Si9u9FVlUTcUXVcawnstJ,44,1964-01-13,0.6829999999999999,0.312,3.0,-13.588,1.0,0.0371,0.912,0.000123,0.0996,0.519,111.46799999999999,audio_features,3Si9u9FVlUTcUXVcawnstJ,spotify:track:3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/tracks/3Si9u9FVlUTcUXVcawnstJ,https://api.spotify.com/v1/audio-analysis/3Si9u9FVlUTcUXVcawnstJ,302307.0,4.0
8,South Dakota,South Dakota,Nina Simone,The Ballad of Hollis Brown,spotify:track:2q5vF4iyk4JtNa4T3aZfNk,27,1966-01-01,0.614,0.465,7.0,-8.389,1.0,0.0313,0.54,0.0,0.12,0.603,122.544,audio_features,2q5vF4iyk4JtNa4T3aZfNk,spotify:track:2q5vF4iyk4JtNa4T3aZfNk,https://api.spotify.com/v1/tracks/2q5vF4iyk4JtNa4T3aZfNk,https://api.spotify.com/v1/audio-analysis/2q5vF4iyk4JtNa4T3aZfNk,295280.0,4.0
9,South Dakota,South Dakota,Mike Seeger,The Ballad of Hollis Brown,spotify:track:7qGQ7egJdD34UomqJxBD5Y,1,1994-09-06,0.5589999999999999,0.429,7.0,-14.335999999999999,1.0,0.0323,0.754,0.00037799999999999997,0.14,0.769,119.105,audio_features,7qGQ7egJdD34UomqJxBD5Y,spotify:track:7qGQ7egJdD34UomqJxBD5Y,https://api.spotify.com/v1/tracks/7qGQ7egJdD34UomqJxBD5Y,https://api.spotify.com/v1/audio-analysis/7qGQ7egJdD34UomqJxBD5Y,327667.0,4.0
